0	92.982002 93.016998 93.082001 93.150002 93.218002 93.249001 93.348999 93.416000 93.582001 93.615997 93.651001 93.681999 93.716003 93.783997 93.849998 93.883003 93.917000 93.949997 93.982002 94.016998 94.050003 94.082001 94.116997 94.151001 94.181999 94.216003 94.249001 94.281998 94.317001 94.348999 94.383003 94.416000 94.482002 94.549004 94.615997 94.717003 94.749001 94.816002 94.884003 94.949997 95.117996 95.182999 95.250999 95.317001 95.350998 95.383003 95.417999 95.450996 95.484001 95.515999 95.550003 95.582001 95.615997 95.650002 95.681999 95.716003 95.750000 95.782997 95.884003 95.948997 96.051003 96.117996 96.216003 96.318001 96.382004 96.450996 96.515999 96.550003 96.584000 96.615997 96.650002 96.682999 96.717003 96.749001 96.782997 96.816002 96.849998 96.882004 96.917000 96.949997 96.982002 97.015999 
1	0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
2	1.000000 1.000000 0.964154 0.911148 0.858875 0.837560 0.816629 0.796085 0.767595 0.739248 0.672948 0.593617 0.592430 0.591270 0.590138 0.588507 0.550381 0.511899 0.473582 0.435437 0.445008 0.454620 0.464270 0.473955 0.498217 0.522692 0.535342 0.541473 0.547495 0.553400 0.559206 0.562507 0.565367 0.567816 0.569855 0.591952 0.614016 0.636039 0.658016 0.666853 0.675595 0.684231 0.692780 0.696724 0.700544 0.704248 0.707829 0.736968 0.766189 0.795495 0.824901 0.797744 0.770509 0.743219 0.715858 0.763142 0.810642 0.858374 0.906326 0.825523 0.745646 0.666688 0.708840 0.751556 0.794842 0.752787 0.712123 0.720732 0.729480 0.738383 0.532834 0.330852 0.132376 0.185678 0.239441 0.293687 0.348419 0.403641 0.419474 0.434674 0.449243 0.463181 
3	0.792739 0.724826 0.666569 0.613453 0.561117 0.431084 0.302158 0.174333 0.096912 0.020033 0.000000 0.000000 0.000000 0.000000 0.000000 0.000785 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.017769 0.044342 0.070835 0.097234 0.123550 0.116715 0.110230 0.104100 0.098305 0.118159 0.137999 0.157844 0.177674 0.166225 0.154979 0.143938 0.133108 0.142066 0.150977 0.159847 0.168672 0.165134 0.161583 0.158015 0.154444 0.155648 0.156848 0.158059 0.159271 0.154012 0.148696 0.143325 0.137895 0.135870 0.133784 0.131642 0.157591 0.184310 0.211815 0.229135 0.245828 0.271089 0.296855 0.323146 0.278592 0.234120 0.189752 0.234525 0.279711 0.325322 0.371349 0.417811 0.420694 0.423523 0.426305 0.429038 
4	0.000000 -0.000000 -0.000000 -0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 
5	0.000000 0.000000 -0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 -0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 
6	-0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 -0.000000 0.000000 -0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 -0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 
7	0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
